post_id,created_at,poster_id 
3578215509420324,1368643320,3332918184
3578246052238711,1368650602,1589353923
3577829763445115,1368551351,2660767054
3578230164081487,1368646813,3219499460
3578252046023446,1368652031,1283493053
3578250938343255,1368651765,1353785527
3578224585541657,1368645483,2612806533
3578207452704590,1368641400,1712155722
3578217296405467,1368643746,1760203754
3578299093709488,1368663248,1697601814
3578258785896789,1368653637,3339071864
3578291237615676,1368661376,3339071864
3578327123904449,1368669931,3304001835
3578339430205173,1368672862,3221174464
3577834976852626,1368552594,2660767054
3578224124517368,1368645374,3199169241
3447723678153160,1337531642,2165259481
3578342793552659,1368673667,3328523550
3578240570454410,1368649294,2908312170
3577033982361907,1368361622,3447338302
3577459905179865,1368463171,3199530524
3447723678153160,1337531642,2165259481
3578355423130843,1368676679,2105426467
3578345301823498,1368674261,3304001835
3578336334677650,1368672127,1449974995
3578229480505406,1368646652,3467757132
3568343975463722,1366289763,1258002675
3447723678153160,1337531642,2165259481
3578366001128545,1368679199,2819985370
3578343716423989,1368673885,2402109965
3577783982310866,1368540435,3290908533
3446231051312947,1337175773,1407365952
3578527137941875,1368717618,2885399334
3578528962579804,1368718052,3358327154
3578535400625727,1368719587,3253522043
3578483365792821,1368707182,2238584024
3578347642471750,1368674821,3206363180
3577819999189261,1368549023,1180291890
3578347386415754,1368674762,3206363180
3578495650975741,1368710110,2326998333
3578615247282435,1368738623,1769533023
3578260224994525,1368653980,3422722562
3578280982345178,1368658929,3459074244
3578213437437887,1368642825,1180291890
3578258597431950,1368653593,3195678152
3578355007689527,1368676578,3091811423
3578365866894392,1368679164,3195678152
3578216113110034,1368643464,1301104761
3578624399631611,1368740807,1404923262
3578631084911938,1368742400,1800025914
3542641658475517,1360161853,2185962724
3578638018317492,1368744052,3340680502
3578648294179969,1368746504,1585354514
3578630813113436,1368742336,2277331355
3578655706357861,1368748271,2616659520
3578557957478739,1368724966,1937192010
3578678971942898,1368753818,3436612260
3578276896937228,1368657956,1585354514
3499573467423475,1349893595,2180306431
3578616710967747,1368738974,2136055355
3578692372899840,1368757012,2422450644
3526052929888092,1356206792,1820884621
3578312213915489,1368666376,1737979690
3578600525346412,1368735115,1782875381
3578687994094438,1368755969,2331501435
3578255024033482,1368652739,3199530524
3578145153822939,1368626546,2951506770
3578526176907283,1368717389,1652811601
3578535547178802,1368719621,1654046253
3578559953809366,1368725441,3253522043
3578563166551168,1368726207,3468513462
3578564261906074,1368726469,1914880192
3578580115900208,1368730248,3262820260
3578595458735931,1368733907,1222430350
3578599065997428,1368734766,1650453620
3578594804206267,1368733749,1234352170
3576036920469636,1368123903,2951506770
3578597082121827,1368734292,1642088277
3578607656395592,1368736815,1189729754
3578606338487808,1368736501,1050896727
3578206143613416,1368641087,1141205557
3577836784858802,1368553025,3291509094
3578541880673729,1368721132,2659604803
3578543197863443,1368721447,1879370541
3578221351865205,1368644713,1644114654
